Season,Facility ID,Latitude,Longitude,Street1,Street2,City,State,Postal Code,Country,Type,Facility Name,URL,Phone,Contact,Begin Date,End Date,Begin Time,End Time,Begin DateTime,End DateTime,Recurrence Days,Hours,Eligibility,Cost,Notes,Record ID,Location
,,,,,,Chicago,IL,60628,United States of America,Other,BCBSIL Blue Door Neighborhood Center,,,,10/29/2019,10/29/2019,10:00:00,14:00:00,10/29/2019 10:00:00 AM,10/29/2019 02:00:00 PM,Tuesday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_54,"(41.6932, -87.6009)"
,,,,,,Chicago,IL,60643,United States of America,Other,BCBSIL Christ Universal Temple,,,,11/23/2019,11/23/2019,11:00:00,15:00:00,11/23/2019 11:00:00 AM,11/23/2019 03:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_55,"(41.6767, -87.6601)"
,,,,,,Chicago,IL,60643,United States of America,Other,BCBSIL Fall Family Festival,,,,10/13/2019,10/13/2019,12:00:00,15:00:00,10/13/2019 12:00:00 PM,10/13/2019 03:00:00 PM,Sunday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_56,"(41.6785, -87.665)"
,,,,,,Chicago,IL,60645,United States of America,Other,Bernard Horwich JCC,,,,11/10/2019,11/10/2019,10:00:00,14:00:00,11/10/2019 10:00:00 AM,11/10/2019 02:00:00 PM,Sunday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_57,"(42.0117, -87.7053)"
,,,,,,Chicago,IL,60625,United States of America,Other,Cherubim & Seraphim Church (North),,,,09/22/2019,09/22/2019,12:00:00,16:00:00,09/22/2019 12:00:00 PM,09/22/2019 04:00:00 PM,Sunday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_64,"(41.9701, -87.7099)"
,,,,,,Chicago,IL,60628,United States of America,Other,Cherubim & Seraphim Church (South),,,,10/06/2019,10/06/2019,12:00:00,16:00:00,10/06/2019 12:00:00 PM,10/06/2019 04:00:00 PM,Sunday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_65,"(41.6982, -87.6423)"
,,,,,,Chicago,IL,60612,United States of America,Government,Chicago Department of Family Support Services,,,,10/15/2019,10/15/2019,10:00:00,14:00:00,10/15/2019 10:00:00 AM,10/15/2019 02:00:00 PM,Tuesday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_68,"(41.8805, -87.7066)"
,,,,,,Chicago,IL,60653,United States of America,Government,Chicago Department of Family Support Services King Community Service Center,,,,09/26/2019,09/26/2019,11:00:00,15:00:00,09/26/2019 11:00:00 AM,09/26/2019 03:00:00 PM,Thursday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_69,"(41.8165, -87.6071)"
,,,,,,Chicago,IL,60612,United States of America,Government,Chicago Police Department - 11th District,,,,10/01/2019,10/01/2019,11:00:00,15:00:00,10/01/2019 11:00:00 AM,10/01/2019 03:00:00 PM,Tuesday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_62,"(41.8735, -87.7053)"
,,,,,,Chicago,IL,60639,United States of America,Government,Chicago Police Department - 25th District,,,,10/16/2019,10/16/2019,11:00:00,15:00:00,10/16/2019 11:00:00 AM,10/16/2019 03:00:00 PM,Wednesday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_58,"(41.9184, -87.7648)"
,,,,,,Chicago,IL,60609,United States of America,Government,Chicago Police Department - 2nd District,,,,10/10/2019,10/10/2019,11:00:00,15:00:00,10/10/2019 11:00:00 AM,10/10/2019 03:00:00 PM,Thursday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_59,"(41.8018, -87.6307)"
,,,,,,Chicago,IL,60618,United States of America,Government,Chicago Police Department - Area North,,,,10/01/2019,10/01/2019,11:30:00,15:30:00,10/01/2019 11:30:00 AM,10/01/2019 03:30:00 PM,Tuesday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_63,"(41.9397, -87.6888)"
,,,,,,Chicago,IL,60628,United States of America,Government,Chicago Police Department - Area South,,,,09/26/2019,09/26/2019,11:00:00,15:00:00,09/26/2019 11:00:00 AM,09/26/2019 03:00:00 PM,Thursday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_60,"(41.6926, -87.605)"
,,,,,,Chicago,IL,60653,United States of America,Government,Chicago Police Department-Headquarters,,,,09/27/2019,09/27/2019,11:00:00,15:00:00,09/27/2019 11:00:00 AM,09/27/2019 03:00:00 PM,Friday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_61,"(41.8308, -87.6234)"
,,,,,,Chicago,IL,60602,United States of America,Government,City Hall,,,,12/03/2019,12/03/2019,9:00:00,14:00:00,12/03/2019 09:00:00 AM,12/03/2019 02:00:00 PM,Thursday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_67,"(41.8839, -87.632)"
,,,,,,Chicago,IL,60602,United States of America,Government,City Hall,,,,10/17/2019,10/17/2019,9:00:00,14:00:00,10/17/2019 09:00:00 AM,10/17/2019 02:00:00 PM,Thursday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_66,"(41.8839, -87.632)"
,,,,,,Chicago,IL,60629,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-284-7070,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_124,"(41.7772, -87.7223)"
,,,,,,Chicago,IL,60614,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,312-640-5161,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Open 24 Hours,,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_96,"(41.9126, -87.6535)"
,,,,,,Chicago,IL,60654,United States of America,Pharmacy,CVS/pharmacy,https://www.cvs.com/minuteclinic,312-222-2570,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:30 AM-7:30 PM, Tue: 8:30 AM-7:30 PM, Wed: 8:30 AM-7:30 PM, Thu: 8:30 AM-7:30 PM, Fri: 8:30 AM-7:30 PM, Sat: 9:00 AM-5:30 PM, Sun: 9:00 AM-4:30 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_156,"(41.8902, -87.6373)"
,,,,,,Chicago,IL,60606,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,312-201-5921,,09/01/2019,09/01/2021,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday","Mon: 6:30 AM-7:00 PM, Tue: 6:30 AM-7:00 PM, Wed: 6:30 AM-7:00 PM, Thu: 6:30 AM-7:00 PM, Fri: 6:30 AM-7:00 PM, Sat: Closed, Sun: Closed",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_153,"(41.8835, -87.6342)"
,,,,,,Chicago,IL,60622,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-342-6060,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-9:00 PM, Tue: 8:00 AM-9:00 PM, Wed: 8:00 AM-9:00 PM, Thu: 8:00 AM-9:00 PM, Fri: 8:00 AM-9:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_136,"(41.8955, -87.6877)"
,,,,,,Chicago,IL,60606,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,312-842-5700,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 9:00 AM-7:00 PM, Tue: 9:00 AM-7:00 PM, Wed: 9:00 AM-7:00 PM, Thu: 9:00 AM-7:00 PM, Fri: 9:00 AM-7:00 PM, Sat: 9:00 AM-5:00 PM, Sun: Closed",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_100,"(41.8463, -87.6158)"
,,,,,,Chicago,IL,60617,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-768-9036,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_116,"(41.729, -87.5548)"
,,,,,,Chicago,IL,60622,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-342-5917,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_121,"(41.9035, -87.6678)"
,,,,,,Chicago,IL,60622,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,312-243-5590,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_104,"(41.8961, -87.6541)"
,,,,,,Chicago,IL,60603,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,312-750-0884,,09/01/2019,09/01/2021,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday","Mon: 7:00 AM-7:00 PM, Tue: 7:00 AM-7:00 PM, Wed: 7:00 AM-7:00 PM, Thu: 7:00 AM-7:00 PM, Fri: 7:00 AM-7:00 PM, Sat: Closed, Sun: Closed",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_149,"(41.8805, -87.6325)"
,,,,,,Chicago,IL,60647,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-486-0343,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_132,"(41.9248, -87.7259)"
,,,,,,Chicago,IL,60618,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-279-2929,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_117,"(41.9609, -87.7124)"
,,,,,,Chicago,IL,60613,United States of America,Pharmacy,CVS/pharmacy,https://www.cvs.com/minuteclinic,773-348-5282,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:30 AM-7:30 PM, Tue: 8:30 AM-7:30 PM, Wed: 8:30 AM-7:30 PM, Thu: 8:30 AM-7:30 PM, Fri: 8:30 AM-7:30 PM, Sat: 9:00 AM-5:30 PM, Sun: 9:00 AM-4:30 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_164,"(41.9482, -87.6636)"
,,,,,,Chicago,IL,60619,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-933-9200,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-9:00 PM, Tue: 8:00 AM-9:00 PM, Wed: 8:00 AM-9:00 PM, Thu: 8:00 AM-9:00 PM, Fri: 8:00 AM-9:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_97,"(41.7363, -87.586)"
,,,,,,Chicago,IL,60639,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-489-7484,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_128,"(41.9095, -87.736)"
,,,,,,Chicago,IL,60603,United States of America,Pharmacy,CVS/pharmacy,https://www.cvs.com/minuteclinic,312-609-1215,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 7:30 AM-6:30 PM, Tue: 7:30 AM-6:30 PM, Wed: 7:30 AM-6:30 PM, Thu: 7:30 AM-6:30 PM, Fri: 7:30 AM-6:30 PM, Sat: 9:00 AM-5:30 PM, Sun: 9:00 AM-4:30 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_160,"(41.8798, -87.6273)"
,,,,,,Chicago,IL,60608,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,312-733-0147,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_113,"(41.8668, -87.6568)"
,,,,,,Chicago,IL,60608,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,312-563-0254,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-4:00 PM, Tue: 8:00 AM-4:00 PM, Wed: 8:00 AM-4:00 PM, Thu: 8:00 AM-4:00 PM, Fri: 8:00 AM-4:00 PM, Sat: Closed, Sun: Closed",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_145,"(41.8584, -87.6658)"
,,,,,,Chicago,IL,60623,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-522-2622,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_122,"(41.8433, -87.7248)"
,,,,,,Chicago,IL,60614,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-665-8126,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 9:00 AM-7:00 PM, Tue: 9:00 AM-7:00 PM, Wed: 9:00 AM-7:00 PM, Thu: 9:00 AM-7:00 PM, Fri: 9:00 AM-7:00 PM, Sat: 10:00 AM-3:00 PM, Sun: Closed",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_101,"(41.9259, -87.6497)"
,,,,,,Chicago,IL,60610,United States of America,Pharmacy,CVS/pharmacy,https://www.cvs.com/minuteclinic,312-280-8140,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:30 AM-7:30 PM, Tue: 8:30 AM-7:30 PM, Wed: 8:30 AM-7:30 PM, Thu: 8:30 AM-7:30 PM, Fri: 8:30 AM-7:30 PM, Sat: 9:00 AM-5:30 PM, Sun: 9:00 AM-4:30 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_159,"(41.9036, -87.6311)"
,,,,,,Chicago,IL,60604,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,312-356-8311,,09/01/2019,09/01/2021,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday","Mon: 6:30 AM-7:00 PM, Tue: 6:30 AM-7:00 PM, Wed: 6:30 AM-7:00 PM, Thu: 6:30 AM-7:00 PM, Fri: 6:30 AM-7:00 PM, Sat: Closed, Sun: Closed",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_154,"(41.8779, -87.6334)"
,,,,,,Chicago,IL,60639,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-804-1692,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_127,"(41.9301, -87.7665)"
,,,,,,Chicago,IL,60641,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-685-5260,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_105,"(41.9411, -87.7275)"
,,,,,,Chicago,IL,60620,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-783-8943,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-9:00 PM, Tue: 8:00 AM-9:00 PM, Wed: 8:00 AM-9:00 PM, Thu: 8:00 AM-9:00 PM, Fri: 8:00 AM-9:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_137,"(41.7478, -87.663)"
,,,,,,Chicago,IL,60630,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-205-3270,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-9:00 PM, Tue: 8:00 AM-9:00 PM, Wed: 8:00 AM-9:00 PM, Thu: 8:00 AM-9:00 PM, Fri: 8:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_142,"(41.9674, -87.7599)"
,,,,,,Chicago,IL,60618,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-279-7600,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_118,"(41.9534, -87.6888)"
,,,,,,Chicago,IL,60606,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,312-474-1051,,09/01/2019,09/01/2021,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday","Mon: 7:00 AM-7:00 PM, Tue: 7:00 AM-7:00 PM, Wed: 7:00 AM-7:00 PM, Thu: 7:00 AM-7:00 PM, Fri: 7:00 AM-7:00 PM, Sat: Closed, Sun: Closed",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_150,"(41.8822, -87.639)"
,,,,,,Chicago,IL,60707,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-237-8927,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_112,"(41.9133, -87.8056)"
,,,,,,Chicago,IL,60612,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-826-9072,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-9:00 PM, Tue: 8:00 AM-9:00 PM, Wed: 8:00 AM-9:00 PM, Thu: 8:00 AM-9:00 PM, Fri: 8:00 AM-9:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_144,"(41.881, -87.7061)"
,,,,,,Chicago,IL,60610,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,312-640-2842,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 9:00 AM-8:00 PM, Tue: 9:00 AM-8:00 PM, Wed: 9:00 AM-8:00 PM, Thu: 9:00 AM-8:00 PM, Fri: 9:00 AM-8:00 PM, Sat: 10:00 AM-6:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_95,"(41.9041, -87.6283)"
,,,,,,Chicago,IL,60618,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-279-8005,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-9:00 PM, Tue: 8:00 AM-9:00 PM, Wed: 8:00 AM-9:00 PM, Thu: 8:00 AM-9:00 PM, Fri: 8:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_141,"(41.9463, -87.7136)"
,,,,,,Chicago,IL,60626,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-338-4384,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_123,"(42.0007, -87.6611)"
,,,,,,Chicago,IL,60657,United States of America,Pharmacy,CVS/pharmacy,http://www.cvs.com,773-477-3333,,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2019-2020_106,"(41.9382, -87.6488)"
